1,PnL sheet
2,Workout routine
3,Company clouser
4,Legal notice to builder indiabulls
5,Sell laptop
6,increase card limit sbi 
7,https://x.com/dickiebush/status/1885047573028716889
8,https://www.thevccorner.com/p/venture-capital-valuation-method-excel-template
9,Hard disk repair 
10,BMI
11,Propretiorship account
12,Learn SEO and pSEO
13,https://www.youtube.com/watch?v=lOPIutlDFpA
14,https://seowriting.ai/ 
15,https://checkout.stripe.com/c/pay/cs_live_b15wM7oanEh0g9ELAjNVODnh3HiZcUKuuMj2qeGS437PzsxqhDEkPPK1aV#fidkdWxOYHwnPyd1blppbHNgWjA0VW41TmJXRkE1X0JHUGExTmxhTn9GajRTVm4xSjxdVnRwXUZNf1djdjZXV1RNfTcwbH09VGZLQ2BwZktPcnEyNjRJMXFzPFExPE1sXURpblM0SzdwZm4xNTV0M1Yxdn0wSycpJ2N3amhWYHdzYHcnP3F3cGApJ2lkfGpwcVF8dWAnPydocGlxbFpscWBoJyknYGtkZ2lgVWlkZmBtamlhYHd2Jz9xd3BgeCUl
16,https://x.com/seonatia/status/1940803656762208515
17,https://x.com/AlexFinnX/status/1940559551138615539
18,penal charges and bounce charges CBI loan
19,CBI loan analysis
20,indusind card
21,https://x.com/basicprompts/status/1966487017669415400
22,ICICI card limit increase
23,https://x.com/matt_gray_/status/1973053054267122067
,https://x.com/JulianGoldieSEO/status/1976729630666375226
,https://x.com/natiakourdadze/status/1977064491528450346
,https://x.com/JulianGoldieSEO/status/1977444094298476979
